5,-2.6,-16.4,-9.8,-26.4,73.9
0.1,1.8,0.1,-9.8,-26.4,73.9
0.1,1.8,0.1,1.2,11.7,-31.4
5.5,-2.2,-21.8,1.2,11.7,-31.4
5.5,-2.2,-21.8,-15.1,-93.1,45.3
0,0,-0.5,-15.1,-93.1,45.3
0,0,-0.5,0,13.1,-25.9
5.8,-4,-21.6,0,13.1,-25.9
5.8,-4,-21.6,1.1,-68.8,56.4
-1.3,2.3,0,1.1,-68.8,56.4
-1.3,2.3,0,-9.1,-12.1,-37.4
5.8,-2.3,-21,-9.1,-12.1,-37.4
5.8,-2.3,-21,-16.1,-78.2,40.6
-1.5,3.6,3,-16.1,-78.2,40.6
-1.5,3.6,3,14.6,-37.7,-61.2
4.6,-3.5,-17.3,14.6,-37.7,-61.2
4.6,-3.5,-17.3,13.3,83.5,-10.3
0.6,0.1,-2.6,13.3,83.5,-10.3
0.6,0.1,-2.6,41.8,-12.7,25.6
4.6,-1.3,-9.8,41.8,-12.7,25.6
4.6,-1.3,-9.8,18.6,87.1,-39.4
1.9,0,-2.1,18.6,87.1,-39.4
1.9,0,-2.1,58.8,-13.8,28.8
7.7,-1.8,-9.8,58.8,-13.8,28.8
7.7,-1.8,-9.8,74.4,209.2,-74.6
1.6,0.1,0.1,74.4,209.2,-74.6
1.6,0.1,0.1,38.5,-156.3,11.7
8.6,0.1,0.1,38.5,-156.3,11.7
8.6,0.1,0.1,43.8,45.5,-395.1
3.6,0.1,0.1,43.8,45.5,-395.1
3.6,0.1,0.1,47.5,93.7,38.7
11.9,-2.3,2.5,47.5,93.7,38.7
11.9,-2.3,2.5,84.7,-82.7,-976.2
9.7,-2.3,0.1,84.7,-82.7,-976.2
9.7,-2.3,0.1,3.4,129.3,28.7
8.2,-1.8,1.2,3.4,129.3,28.7
8.2,-1.8,1.2,29.1,-47,-293.7
13.4,-3.5,-0.1,29.1,-47,-293.7
13.4,-3.5,-0.1,-36.4,139.3,27.8
3,0,0,-36.4,139.3,27.8
3,0,0,18.7,-6.6,-161.2
15.4,-3.5,0,18.7,-6.6,-161.2
15.4,-3.5,0,-0.9,95.7,86.6
2,-0.1,-0.1,-0.9,95.7,86.6
2,-0.1,-0.1,5.7,-29.5,-64.2
21.5,-3.6,0,5.7,-29.5,-64.2
21.5,-3.6,0,-2.5,57.1,194.5
3.7,0.4,0,-2.5,57.1,194.5
3.7,0.4,0,1.1,-34,-45.9
22,-3.1,0,1.1,-34,-45.9
22,-3.1,0,-14.2,50.8,236.9
0,2.5,-2,-14.2,50.8,236.9
0,2.5,-2,-31.6,-8.2,128.3
4.6,-4,19.4,-31.6,-8.2,128.3
4.6,-4,19.4,181.8,-174.5,-213.1
0,2.3,-2.6,181.8,-174.5,-213.1
0,2.3,-2.6,-30.1,185.2,116.1
4.6,-1.6,23,-30.1,185.2,116.1
4.6,-1.6,23,29.5,-253.1,-65.2
0,4.1,-3.4,29.5,-253.1,-65.2
0,4.1,-3.4,-15,55.6,100.5
5.9,-3.7,22.9,-15,55.6,100.5
5.9,-3.7,22.9,19.7,-190.1,-69.8
0,3.9,-4.2,19.7,-190.1,-69.8
0,3.9,-4.2,-27.5,80.6,92
5,-2.5,21.9,-27.5,80.6,92
5,-2.5,21.9,25.2,-225.2,-81.3
0,5.1,-4.4,25.2,-225.2,-81.3
0,5.1,-4.4,-20.7,35.2,125.7
6,-3,20.2,-20.7,35.2,125.7
6,-3,20.2,6.3,-42.2,-29.1
-1.7,4.1,-3.6,6.3,-42.2,-29.1
-1.7,4.1,-3.6,-25.8,-20.9,104
1.2,-0.1,4,-25.8,-20.9,104
