acc1-1,acc1-2,acc1-3,gyro1-1,gyro1-2,gyro1-3,acc2-1,acc2-2,acc2-3,gyro2-1,gyro2-2,gyro2-3,acc3-1,acc3-2,acc3-3,gyro3-1,gyro3-2,gyro3-3,acc4-1,acc4-2,acc4-3,gyro4-1,gyro4-2,gyro4-3,acc5-1,acc5-2,acc5-3,gyro5-1,gyro5-2,gyro5-3,acc6-1,acc6-2,acc6-3,gyro6-1,gyro6-2,gyro6-3,acc7-1,acc7-2,acc7-3,gyro7-1,gyro7-2,gyro7-3,acc8-1,acc8-2,acc8-3,gyro8-1,gyro8-2,gyro8-3,acc9-1,acc9-2,acc9-3,gyro9-1,gyro9-2,gyro9-3,acc10-1,acc10-2,acc10-3,gyro10-1,gyro10-2,gyro10-3,label
-1.7,2.3,-2.6,-26.2,66.7,-24.5,-1.7,2.3,-2.6,-63,-69.1,29,7.8,14,7.5,-63,-69.1,29,7.8,14,7.5,78.8,141.7,40,-1.7,3.6,-2.2,78.8,141.7,40,-1.7,3.6,-2.2,-71.3,-79.3,23.9,9.8,14.1,6.4,-71.3,-79.3,23.9,9.8,14.1,6.4,52.3,114,17.4,-2.2,3.6,-1.6,52.3,114,17.4,-2.2,3.6,-1.6,-57.3,-83.4,13.3,1
9.8,13.6,4.9,-57.3,-83.4,13.3,9.8,13.6,4.9,88.5,126.3,60.8,-4.2,4.1,-0.1,88.5,126.3,60.8,-4.2,4.1,-0.1,-45.5,-111.3,4,8.6,13.2,5.3,-45.5,-111.3,4,8.6,13.2,5.3,87.3,119.2,55,-3.1,3.9,0,87.3,119.2,55,-3.1,3.9,0,-38.1,-91.4,4.2,8.7,13.9,6.4,-38.1,-91.4,4.2,8.7,13.9,6.4,58.4,101.6,17.8,1
-1.6,3.7,-1.3,58.4,101.6,17.8,-1.6,3.7,-1.3,-58.1,-61.9,8.9,9.8,14.1,7.7,-58.1,-61.9,8.9,9.8,14.1,7.7,7.4,111.4,13.8,-1.1,3.1,-1.5,7.4,111.4,13.8,-1.1,3.1,-1.5,-78.9,-42.6,2.8,5,13.8,8.3,-78.9,-42.6,2.8,5,13.8,8.3,-48.8,53.2,-4.1,-1.1,2.7,-2.7,-48.8,53.2,-4.1,-1.1,2.7,-2.7,-80.8,-53.6,12.5,1
6.1,12.4,9.1,-80.8,-53.6,12.5,6.1,12.4,9.1,-4.7,101.1,16.6,1.6,3.3,-1.6,-4.7,101.1,16.6,1.6,3.3,-1.6,-80.8,-19.5,-4.5,3.1,12.8,9.8,-80.8,-19.5,-4.5,3.1,12.8,9.8,-51.7,-4.2,-43.4,3.3,4.8,-0.9,-51.7,-4.2,-43.4,3.3,4.8,-0.9,-40.2,-4.7,26.1,-0.1,10.8,9.8,-40.2,-4.7,26.1,-0.1,10.8,9.8,-21.1,-34.5,-94.1,1
4.4,5.1,0,-21.1,-34.5,-94.1,4.4,5.1,0,-31.3,8.5,15.1,-0.8,9,11.3,-31.3,8.5,15.1,-0.8,9,11.3,-28,-52.4,-143.8,3.8,4.4,-1.2,-28,-52.4,-143.8,3.8,4.4,-1.2,-32.7,-2.1,26.4,0,11.7,9.8,-32.7,-2.1,26.4,0,11.7,9.8,-43.1,-50.8,-61.6,4.1,4.6,0,-43.1,-50.8,-61.6,4.1,4.6,0,2.3,20.6,29.4,1
-0.5,12.6,11.2,2.3,20.6,29.4,-0.5,12.6,11.2,-31.2,-25.3,-84,4.5,5.6,0,-31.2,-25.3,-84,4.5,5.6,0,-17.2,9.1,22,-1.4,9.8,6.1,-17.2,9.1,22,-1.4,9.8,6.1,-15.9,-46.3,-92.1,4.1,5,0,-15.9,-46.3,-92.1,4.1,5,0,-43.7,2.8,7,-2.3,9.8,6.6,-43.7,2.8,7,-2.3,9.8,6.6,1.7,-55.7,-89.9,1
7,7.1,0.8,1.7,-55.7,-89.9,7,7.1,0.8,29.6,63.9,48.6,-4.6,6.3,3.9,29.6,63.9,48.6,-4.6,6.3,3.9,-10.9,-102.4,-88.9,9.8,9.8,3.3,-10.9,-102.4,-88.9,9.8,9.8,3.3,96.8,122.5,79.9,-4,3.9,-1.4,96.8,122.5,79.9,-4,3.9,-1.4,-58,-120.1,-0.2,9.8,13.1,6.3,-58,-120.1,-0.2,9.8,13.1,6.3,114.6,174.9,50.1,1
-2.9,3.8,-1.7,114.6,174.9,50.1,-2.9,3.8,-1.7,-79.8,-94.8,13.7,9.8,13.3,7.4,-79.8,-94.8,13.7,9.8,13.3,7.4,98,165,47.2,-4.3,3.4,-0.1,98,165,47.2,-4.3,3.4,-0.1,-52.3,-116.5,-5.8,9.8,13.4,5.3,-52.3,-116.5,-5.8,9.8,13.4,5.3,100.1,151.2,55.2,-4.2,4,0,100.1,151.2,55.2,-4.2,4,0,-40.6,-121.6,9.4,1
-0.1,3.5,-1.5,-40.6,-121.6,9.4,-0.1,3.5,-1.5,-50,-35.8,16.7,1.9,12.7,9.8,-50,-35.8,16.7,1.9,12.7,9.8,-46.5,32.5,-45.2,0.2,4,-0.9,-46.5,32.5,-45.2,0.2,4,-0.9,-35.9,-20.9,6.1,0,11.7,8,-35.9,-20.9,6.1,0,11.7,8,-40.1,31.7,-51.8,2.4,4.6,0,-40.1,31.7,-51.8,2.4,4.6,0,-39.3,-7.3,5.7,1
-1.9,9.8,8.5,-39.3,-7.3,5.7,-1.9,9.8,8.5,-26.5,9.2,-65.8,4.6,4.4,0,-26.5,9.2,-65.8,4.6,4.4,0,-44.5,4.7,6.2,-3.7,3.6,9.8,-44.5,4.7,6.2,-3.7,3.6,9.8,-171.7,-189.7,-181.5,9.8,1.4,9.8,-171.7,-189.7,-181.5,9.8,1.4,9.8,-96.9,-63.6,-39,-4.4,2.5,4.1,-96.9,-63.6,-39,-4.4,2.5,4.1,59.3,-177.9,-59.9,1
11.9,-0.1,13.1,59.3,-177.9,-59.9,11.9,-0.1,13.1,-93.1,-138.9,-47.8,-4,3.4,3.6,-93.1,-138.9,-47.8,-4,3.4,3.6,65.8,-196.7,-11.8,6.3,-1.2,11.6,65.8,-196.7,-11.8,6.3,-1.2,11.6,-43.4,-37.5,-16.7,-4.6,2.7,3.9,-43.4,-37.5,-16.7,-4.6,2.7,3.9,74.1,-145.6,15.7,8.3,-1.1,14.8,74.1,-145.6,15.7,8.3,-1.1,14.8,-66.6,-125.1,-27.3,1
-3,3.4,1.8,-66.6,-125.1,-27.3,-3,3.4,1.8,24.9,-205.2,-3.5,7.5,-1.7,16.8,24.9,-205.2,-3.5,7.5,-1.7,16.8,-86.5,-34.5,-34.6,-1.9,2.9,1.7,-86.5,-34.5,-34.6,-1.9,2.9,1.7,51.9,-3.4,56.1,2.5,0,16.6,51.9,-3.4,56.1,2.5,0,16.6,-73.7,-51.5,-21.9,0,3.3,0,-73.7,-51.5,-21.9,0,3.3,0,101,862.8,419.5,1
3.8,-1.4,17.9,101,862.8,419.5,3.8,-1.4,17.9,-71.5,-14.3,-40.2,0,3.2,0,-71.5,-14.3,-40.2,0,3.2,0,42,459.5,254.4,4.9,-1,19.2,42,459.5,254.4,4.9,-1,19.2,-89.3,-63.2,-20,-2,3.8,1.3,-89.3,-63.2,-20,-2,3.8,1.3,17.1,-170.7,-4.2,1.8,-1.4,19.6,17.1,-170.7,-4.2,1.8,-1.4,19.6,-61.5,-26.8,-40.8,1
0,3.3,0,-61.5,-26.8,-40.8,0,3.3,0,32.3,201,148.4,0.9,0.1,18.5,32.3,201,148.4,0.9,0.1,18.5,-71.9,-124.8,-35.5,2,3.6,-0.5,-71.9,-124.8,-35.5,2,3.6,-0.5,-76.4,-261.6,-97.7,12.4,1.9,11.6,-76.4,-261.6,-97.7,12.4,1.9,11.6,79.2,375.3,185.4,5.6,1.5,-2.6,79.2,375.3,185.4,5.6,1.5,-2.6,-63.7,23.1,54.7,1
-1.9,-4.5,-13.1,-63.7,23.1,54.7,-1.9,-4.5,-13.1,-74.4,32.5,17.6,4.4,2.3,-2.7,-74.4,32.5,17.6,4.4,2.3,-2.7,99.2,-1.3,-56.1,-1.3,-4.1,-17.4,99.2,-1.3,-56.1,-1.3,-4.1,-17.4,-88.3,-0.7,40.3,0,1.3,-1,-88.3,-0.7,40.3,0,1.3,-1,36,73.7,-23.3,-1.1,-1.7,-19.1,36,73.7,-23.3,-1.1,-1.7,-19.1,-56.5,-7.8,21.7,1
-0.1,2.4,1.4,-56.5,-7.8,21.7,-0.1,2.4,1.4,-10.2,56.3,-59.4,0,14.7,-6.7,-10.2,56.3,-59.4,0,14.7,-6.7,57,-79.1,-12,-3,2.4,-0.1,57,-79.1,-12,-3,2.4,-0.1,-64.5,26.7,6.5,0.5,14.8,-9.8,-64.5,26.7,6.5,0.5,14.8,-9.8,70,-53.7,72.2,-2.8,1.5,-0.1,70,-53.7,72.2,-2.8,1.5,-0.1,-62.4,22.8,17.5,1
1.3,14,-11.6,-62.4,22.8,17.5,1.3,14,-11.6,78,-45.8,50.6,-5.1,2.2,-1.5,78,-45.8,50.6,-5.1,2.2,-1.5,-64.3,7.6,4.8,2.6,12.2,-9.8,-64.3,7.6,4.8,2.6,12.2,-9.8,96.9,-8,44.7,-6.8,3.6,-4,96.9,-8,44.7,-6.8,3.6,-4,-55,-16,6,4,6.3,-1.6,-55,-16,6,4,6.3,-1.6,110,99.2,-43.2,1
-9.8,5.3,-7,110,99.2,-43.2,-9.8,5.3,-7,-62.4,-35.2,7,5,5.6,-1.4,-62.4,-35.2,7,5,5.6,-1.4,137.2,91.4,-33.5,-7.1,4.3,-9.8,137.2,91.4,-33.5,-7.1,4.3,-9.8,-46.1,-38.1,28.1,2.7,5.9,0,-46.1,-38.1,28.1,2.7,5.9,0,34.3,69.9,-86.3,-8.7,7.5,-11.4,34.3,69.9,-86.3,-8.7,7.5,-11.4,-45.6,-70.1,39.7,1
1.8,4.1,0.4,-45.6,-70.1,39.7,1.8,4.1,0.4,-1.3,104.9,-46.4,-4.5,8.7,-12.9,-1.3,104.9,-46.4,-4.5,8.7,-12.9,-14.4,-90.6,72.5,-1.6,2.4,0,-14.4,-90.6,72.5,-1.6,2.4,0,-52.5,69.6,-3,3.6,13,-9.8,-52.5,69.6,-3,3.6,13,-9.8,63.4,-36.7,76.7,-3.1,2.2,0,63.4,-36.7,76.7,-3.1,2.2,0,-78.2,38.9,11.1,1
4.2,13.2,-5.9,-78.2,38.9,11.1,4.2,13.2,-5.9,113.1,-11.1,57.6,-5.3,3.7,0,113.1,-11.1,57.6,-5.3,3.7,0,-70.6,-12.3,-8.3,4.9,8.1,-2,-70.6,-12.3,-8.3,4.9,8.1,-2,106.9,55.2,41.6,-6.1,6.9,-6.6,106.9,55.2,41.6,-6.1,6.9,-6.6,-21.4,-54,7.9,4.5,3.4,0,-21.4,-54,7.9,4.5,3.4,0,127.6,80.4,-17.3,1
-0.8,0,-15.3,127.6,80.4,-17.3,-0.8,0,-15.3,-48.3,9.3,39.1,3.2,3.2,-1,-48.3,9.3,39.1,3.2,3.2,-1,70,35.3,-55.8,-0.1,-0.1,-16.2,70,35.3,-55.8,-0.1,-0.1,-16.2,-73.9,5.3,29.8,4,3.1,0.1,-73.9,5.3,29.8,4,3.1,0.1,94.7,22.5,-69.5,-1.2,0,-16.5,94.7,22.5,-69.5,-1.2,0,-16.5,-58.2,11.3,23.2,1
3.7,3.4,0.1,-58.2,11.3,23.2,3.7,3.4,0.1,116.6,19.5,-76.7,-3.4,0.1,-15.4,116.6,19.5,-76.7,-3.4,0.1,-15.4,-76.9,7.8,22.1,5.1,3.8,-2.4,-76.9,7.8,22.1,5.1,3.8,-2.4,102.8,10.2,-54,-1.8,1.3,-17.7,102.8,10.2,-54,-1.8,1.3,-17.7,-76.9,-12,26.4,4.5,4.2,0,-76.9,-12,26.4,4.5,4.2,0,96,6.9,-80.9,1
0.1,1,-16,96,6.9,-80.9,0.1,1,-16,-58.9,1.6,20.3,4.1,4,-0.1,-58.9,1.6,20.3,4.1,4,-0.1,93.7,20.5,-75.7,-2.2,1.9,-9.8,93.7,20.5,-75.7,-2.2,1.9,-9.8,-59.8,22,-5.8,5.8,4.2,-5.1,-59.8,22,-5.8,5.8,4.2,-5.1,86.2,-25.8,15.8,-2.6,2.2,-12.1,86.2,-25.8,15.8,-2.6,2.2,-12.1,-56,9.4,-0.7,1
3.7,3.7,-0.7,-56,9.4,-0.7,3.7,3.7,-0.7,109.2,-1.5,-41.7,-1.6,1.3,-3.1,109.2,-1.5,-41.7,-1.6,1.3,-3.1,-30.5,56.4,-25.7,9.8,3.8,-13.4,-30.5,56.4,-25.7,9.8,3.8,-13.4,15.2,-35.4,69.6,-1.8,1.9,-1.3,15.2,-35.4,69.6,-1.8,1.9,-1.3,-36.2,45,-37.9,9.8,3.1,-16.2,-36.2,45,-37.9,9.8,3.1,-16.2,-19.3,-29.4,61.4,1
-1.8,1.3,-1.6,-19.3,-29.4,61.4,-1.8,1.3,-1.6,-35.1,46.8,-28.4,6.6,3.3,-16,-35.1,46.8,-28.4,6.6,3.3,-16,-26.4,-36.9,59.4,-2.6,2.7,-1.6,-26.4,-36.9,59.4,-2.6,2.7,-1.6,-33.5,30.6,-48.4,6.6,2.7,-16.5,-33.5,30.6,-48.4,6.6,2.7,-16.5,-34.9,-39.6,69,0,2.3,-0.5,-34.9,-39.6,69,0,2.3,-0.5,-7.2,49.3,-49.6,1
6.3,2.4,-16.4,-7.2,49.3,-49.6,6.3,2.4,-16.4,-66.6,-16.3,60,0,1.9,-2.6,-66.6,-16.3,60,0,1.9,-2.6,-12.1,36.2,-29.8,7.9,2.7,-15.8,-12.1,36.2,-29.8,7.9,2.7,-15.8,-7.2,-22.9,62.1,-1.7,2.1,-3.9,-7.2,-22.9,62.1,-1.7,2.1,-3.9,-13.7,44.2,-30.5,9.8,2.3,-13.3,-13.7,44.2,-30.5,9.8,2.3,-13.3,29.6,-25.6,66,1
-2.4,1.7,-4.2,29.6,-25.6,66,-2.4,1.7,-4.2,-36.8,36.4,-24.6,8.8,3.3,-9.8,-36.8,36.4,-24.6,8.8,3.3,-9.8,79.9,-30.3,44.1,-2.5,1.1,-5.9,79.9,-30.3,44.1,-2.5,1.1,-5.9,-45,38,-13.2,9.8,2.6,-10.1,-45,38,-13.2,9.8,2.6,-10.1,56.4,-22.1,68.9,-2.5,-0.1,-8.3,56.4,-22.1,68.9,-2.5,-0.1,-8.3,-49.8,44.6,-1,1
8,3.7,-3.7,-49.8,44.6,-1,8,3.7,-3.7,166.7,20.7,0.9,-5.4,1.2,-11.2,166.7,20.7,0.9,-5.4,1.2,-11.2,-88.6,-0.5,2.7,4.3,5.7,0.1,-88.6,-0.5,2.7,4.3,5.7,0.1,40.9,128,-136.8,-7.3,9.8,-9.8,40.9,128,-136.8,-7.3,9.8,-9.8,-47.1,-67.9,10.2,2.3,4.5,1.6,-47.1,-67.9,10.2,2.3,4.5,1.6,-5.7,83.5,-68.6,1
-7.4,10.2,-13.1,-5.7,83.5,-68.6,-7.4,10.2,-13.1,-19.3,-98,54,0.1,3.9,2.3,-19.3,-98,54,0.1,3.9,2.3,-43.5,77.8,-54.9,-6.5,9.8,-12.5,-43.5,77.8,-54.9,-6.5,9.8,-12.5,-36.9,-97.3,55.9,0.1,3.5,2.7,-36.9,-97.3,55.9,0.1,3.5,2.7,-58.1,77.3,-60.3,-2.9,11.5,-11.5,-58.1,77.3,-60.3,-2.9,11.5,-11.5,-15.4,-64.8,44.1,1
0.1,2.8,1.7,-15.4,-64.8,44.1,0.1,2.8,1.7,-53,42.8,-32.7,0.1,12.5,-11.9,-53,42.8,-32.7,0.1,12.5,-11.9,37.2,-64.7,69,-0.1,2.2,2.1,37.2,-64.7,69,-0.1,2.2,2.1,-56.9,43.3,-37.5,-0.5,11.8,-11.8,-56.9,43.3,-37.5,-0.5,11.8,-11.8,8.7,-68.7,73.5,0.1,2.1,1.8,8.7,-68.7,73.5,0.1,2.1,1.8,-79.1,57.5,-18.1,1
3.4,13.7,-6.7,-79.1,57.5,-18.1,3.4,13.7,-6.7,84.2,-39.5,67.4,-4.2,3.8,0.4,84.2,-39.5,67.4,-4.2,3.8,0.4,-75.5,-18.4,-25.1,7.3,9.8,-8.4,-75.5,-18.4,-25.1,7.3,9.8,-8.4,126.7,51.4,121.6,-5.7,5.3,-2.8,126.7,51.4,121.6,-5.7,5.3,-2.8,-58.3,-24.6,-16.7,9.8,4.1,-6.7,-58.3,-24.6,-16.7,9.8,4.1,-6.7,183,76.6,153.6,1
0,1.7,-9.8,183,76.6,153.6,0,1.7,-9.8,-51.2,8,5.8,5.6,3,-2.2,-51.2,8,5.8,5.6,3,-2.2,115.9,31.6,-11.3,0,0,-15.2,115.9,31.6,-11.3,0,0,-15.2,-60.5,10.1,18.7,2.4,3,-1.1,-60.5,10.1,18.7,2.4,3,-1.1,56.8,16.7,-52.6,16,0,-6.1,56.8,16.7,-52.6,16,0,-6.1,113.3,-31.4,60.4,1
1.1,2.6,1.8,113.3,-31.4,60.4,1.1,2.6,1.8,0,0,0,3.8,-1.6,16.3,0,0,0,3.8,-1.6,16.3,-23.8,-36.1,-74.5,1.5,3.3,1.3,-23.8,-36.1,-74.5,1.5,3.3,1.3,16.7,243,212.8,0,0,15.9,16.7,243,212.8,0,0,15.9,-17.7,-84.7,-36.2,3.2,2.1,2.3,-17.7,-84.7,-36.2,3.2,2.1,2.3,-54.3,-308.2,-104.6,1
-1.6,0,15.7,-54.3,-308.2,-104.6,-1.6,0,15.7,-32.5,-166.7,-51.1,4.8,1.5,3.2,-32.5,-166.7,-51.1,4.8,1.5,3.2,-52.3,-199.8,-64.6,-1.7,0,14.2,-52.3,-199.8,-64.6,-1.7,0,14.2,-123.5,-536.8,-72.1,5.5,1.3,3.5,-123.5,-536.8,-72.1,5.5,1.3,3.5,-46.9,-267.3,-107.6,-2.9,0,13.6,-46.9,-267.3,-107.6,-2.9,0,13.6,-100.1,-636.4,-72.1,1
5.8,0.8,5,-100.1,-636.4,-72.1,5.8,0.8,5,-45,-101.4,-22.6,-3.7,3.4,9.1,-45,-101.4,-22.6,-3.7,3.4,9.1,0.9,-199.9,-24.1,5.6,2.1,4.1,0.9,-199.9,-24.1,5.6,2.1,4.1,-134.7,-349.8,-118.3,-4.4,-0.1,9.8,-134.7,-349.8,-118.3,-4.4,-0.1,9.8,-35.1,-282.4,-109.5,3.2,4,1.8,-35.1,-282.4,-109.5,3.2,4,1.8,-243.7,-978.1,-236.5,1
-2.7,6.4,7.7,-243.7,-978.1,-236.5,-2.7,6.4,7.7,-11.6,-92.7,-20.3,5.9,5.8,0,-11.6,-92.7,-20.3,5.9,5.8,0,-56.8,6.5,37.8,-4.3,7.3,4,-56.8,6.5,37.8,-4.3,7.3,4,-68.6,-139.7,-68.1,5.5,9.8,6.5,-68.6,-139.7,-68.1,5.5,9.8,6.5,298.3,264.3,69.8,-5.7,3.6,-0.4,298.3,264.3,69.8,-5.7,3.6,-0.4,-78.6,-149.6,9.5,1
7,12.1,9.8,-78.6,-149.6,9.5,7,12.1,9.8,141,207.1,-3.4,-2.1,3.1,-2.4,141,207.1,-3.4,-2.1,3.1,-2.4,-111.1,-103.9,20.4,4.2,14.1,9.8,-111.1,-103.9,20.4,4.2,14.1,9.8,-11.3,90.9,-35.8,0,4.1,-3.9,-11.3,90.9,-35.8,0,4.1,-3.9,-86.6,-37.3,43.9,-1.8,13.9,9.8,-86.6,-37.3,43.9,-1.8,13.9,9.8,-88.7,27.7,-62.4,1
0,4.6,-2.4,-88.7,27.7,-62.4,0,4.6,-2.4,-59.9,-28.2,36.5,-2.8,9.8,7.9,-59.9,-28.2,36.5,-2.8,9.8,7.9,-77.8,-25.4,-71.7,4.6,7.2,1.1,-77.8,-25.4,-71.7,4.6,7.2,1.1,27.7,50.3,39.9,-4,7.8,3.8,27.7,50.3,39.9,-4,7.8,3.8,-50.4,-79,-50.4,6.1,7.8,0.5,-50.4,-79,-50.4,6.1,7.8,0.5,88.5,93.8,60.3,1
-3.9,6.2,1.9,88.5,93.8,60.3,-3.9,6.2,1.9,-32.2,-84.5,-35.8,8,9.8,3.8,-32.2,-84.5,-35.8,8,9.8,3.8,165.4,166.9,85.2,-4,8,5.5,165.4,166.9,85.2,-4,8,5.5,-34.9,-83.9,-85,6,9.8,2.8,-34.9,-83.9,-85,6,9.8,2.8,113.6,110.5,68.5,-4.2,4,-1.3,113.6,110.5,68.5,-4.2,4,-1.3,-74.4,-113.6,21.1,1
6.3,11.5,6,-74.4,-113.6,21.1,6.3,11.5,6,139.2,145.1,39,-4.6,4.9,0.1,139.2,145.1,39,-4.6,4.9,0.1,-50.2,-117.7,18.2,6.3,10.8,3.6,-50.2,-117.7,18.2,6.3,10.8,3.6,171,164.8,56.9,-4.3,4.1,0,171,164.8,56.9,-4.3,4.1,0,-61.3,-116.1,17.9,6.5,11.3,4.7,-61.3,-116.1,17.9,6.5,11.3,4.7,181.9,178.8,50.3,1
-3.6,4,0,181.9,178.8,50.3,-3.6,4,0,-83.8,-103.7,-3.6,7,5.3,14.4,-83.8,-103.7,-3.6,7,5.3,14.4,-141.8,-87.2,-73.3,0,4,1.4,-141.8,-87.2,-73.3,0,4,1.4,46.2,23.7,56.5,6.1,1.9,16.5,46.2,23.7,56.5,6.1,1.9,16.5,-92.4,-38.5,-42.7,-0.9,3.6,1.5,-92.4,-38.5,-42.7,-0.9,3.6,1.5,85.1,137.2,120.6,1
5.2,0,16.9,85.1,137.2,120.6,5.2,0,16.9,-73.8,-21.6,-32.8,0.7,3.4,1,-73.8,-21.6,-32.8,0.7,3.4,1,0,0,0,8.2,1.1,9.8,0,0,0,8.2,1.1,9.8,-70.4,-152.9,-37,-3.9,2.7,5.7,-70.4,-152.9,-37,-3.9,2.7,5.7,-31.8,-348.3,-60.2,6.5,0,12.1,-31.8,-348.3,-60.2,6.5,0,12.1,-61,-109.4,-19.8,1
